epoch,d_loss,g_loss,lr_G,lr_D,batch_size,img_size,z_dim
1,2.139928631922778,3.3697397849139046,0.0002,3e-05,64,64,128
2,1.2414105043691748,4.554062310387106,0.0002,3e-05,64,64,128
3,1.7057540942640865,2.434152357718524,0.0002,3e-05,64,64,128
4,1.6437627883518444,2.223622507908765,0.0002,3e-05,64,64,128
5,1.463004585574655,2.5278972457436955,0.0002,3e-05,64,64,128
6,1.5766763091087341,2.111937642097473,0.0002,3e-05,64,64,128
7,1.4056068238090067,1.5080564407741321,0.0002,3e-05,64,64,128
8,1.4730964548447554,1.2868377601399141,0.0002,3e-05,64,64,128
9,1.5194055999026579,1.1880440186051762,0.0002,3e-05,64,64,128
10,1.4447718332795536,1.197163914932924,0.0002,3e-05,64,64,128
11,1.524124965948217,1.1231142615570742,0.0002,3e-05,64,64,128
12,1.531838027869954,1.158606832518297,0.0002,3e-05,64,64,128
13,1.42344831719118,1.1233897752621596,0.0002,3e-05,64,64,128
14,1.459391877931707,1.1073827796122606,0.0002,3e-05,64,64,128
15,1.44542758955675,1.101494377150255,0.0002,3e-05,64,64,128
16,1.424547791481018,1.136012647081824,0.0002,3e-05,64,64,128
17,1.4594883252592648,1.1150731356704937,0.0002,3e-05,64,64,128
18,1.3754606737810022,1.14164035635836,0.0002,3e-05,64,64,128
19,1.396877969012541,1.1109522177892572,0.0002,3e-05,64,64,128
20,1.3821608283940483,1.1530190776376164,0.0002,3e-05,64,64,128
21,1.3763207547804888,1.1239749280845417,0.0002,3e-05,64,64,128
22,1.3820473516688627,1.145090303000282,0.0002,3e-05,64,64,128
23,1.3606835989391102,1.1623925864696503,0.0002,3e-05,64,64,128
24,1.3431779847425573,1.1912400862749886,0.0002,3e-05,64,64,128
25,1.3268715563942404,1.2331886501873242,0.0002,3e-05,64,64,128
26,1.3054129866992725,1.2550407122163212,0.0002,3e-05,64,64,128
27,1.2833889652700985,1.2975144526537727,0.0002,3e-05,64,64,128
28,1.3058080568033106,1.3321973436019,0.0002,3e-05,64,64,128
29,1.2967037207940046,1.3827624005429886,0.0002,3e-05,64,64,128
30,1.3661927686018103,1.3449089877745684,0.0002,3e-05,64,64,128
31,1.3135633398504818,1.2599146050565384,0.0002,3e-05,64,64,128
32,1.3282825806561638,1.2107451312682207,0.0002,3e-05,64,64,128
33,1.2950872954200296,1.2981037427397335,0.0002,3e-05,64,64,128
34,1.2828240079038284,1.262062114827773,0.0002,3e-05,64,64,128
35,1.2613659220583298,1.28849675024257,0.0002,3e-05,64,64,128
36,1.2299158888704635,1.3714343169156242,0.0002,3e-05,64,64,128
37,1.2386532110326431,1.421976107008317,0.0002,3e-05,64,64,128
38,1.1882544054704554,1.4429088901070988,0.0002,3e-05,64,64,128
39,1.1845744672943563,1.4716672406477087,0.0002,3e-05,64,64,128
40,1.156348119763767,1.5151292260955362,0.0002,3e-05,64,64,128
41,1.2762909566654879,1.2480011827805464,0.00018,1.5e-05,64,64,128
42,1.3084515999345219,1.1641913406989153,0.00018,1.5e-05,64,64,128
43,1.3060346911935246,1.1216931518386393,0.00018,1.5e-05,64,64,128
44,1.341466419837054,1.0926456679316128,0.00018,1.5e-05,64,64,128
45,1.3825293954680948,1.0606274780105143,0.00018,1.5e-05,64,64,128
46,1.3601204297121834,1.012198300922618,0.00018,1.5e-05,64,64,128
47,1.3755652343525606,1.0345596653573654,0.00018,1.5e-05,64,64,128
48,1.3592362193500294,1.0358884878018324,0.00018,1.5e-05,64,64,128
49,1.3613417604390312,1.0179043429739334,0.00018,1.5e-05,64,64,128
50,1.3687691022368038,0.9718031497562633,0.00018,1.5e-05,64,64,128
51,1.368693604188807,0.9709251996348885,0.00018,1.5e-05,64,64,128
52,1.3772537357666914,0.985348072122125,0.00018,1.5e-05,64,64,128
53,1.3631609082221985,0.9800807903794682,0.00018,1.5e-05,64,64,128
54,1.3653100728988647,0.9781207249445074,0.00018,1.5e-05,64,64,128
55,1.3551993089563705,0.9721029804033392,0.00018,1.5e-05,64,64,128
56,1.3488585282774532,0.9861224626793581,0.00018,1.5e-05,64,64,128
57,1.3278911990277908,0.9751399930785684,0.00018,1.5e-05,64,64,128
58,1.3251083493232727,0.9782043327303493,0.00018,1.5e-05,64,64,128
59,1.315726076855379,0.983867916990729,0.00018,1.5e-05,64,64,128
60,1.2989170691546272,0.9889237635275897,0.00018,1.5e-05,64,64,128
61,1.3002701997756958,1.0120942978297962,0.00018,1.5e-05,64,64,128
62,1.286933134583866,1.012739328777089,0.00018,1.5e-05,64,64,128
63,1.2725476131719702,1.0241896597778095,0.00018,1.5e-05,64,64,128
64,1.2628415752859676,1.0435662935761845,0.00018,1.5e-05,64,64,128
65,1.252873908070957,1.0258157148080713,0.00018,1.5e-05,64,64,128
66,1.254206303287955,1.0264168329098646,0.00018,1.5e-05,64,64,128
67,1.2380491179578446,1.0250348939615137,0.00018,1.5e-05,64,64,128
68,1.2370531979729147,1.0201115783523111,0.00018,1.5e-05,64,64,128
69,1.2296505570411682,1.0410416529459112,0.00018,1.5e-05,64,64,128
70,1.209115347441505,1.0648198180338915,0.00018,1.5e-05,64,64,128
71,1.2066425926545088,1.0463680344469406,0.00018,1.5e-05,64,64,128
72,1.194732988581938,1.073852407581666,0.00018,1.5e-05,64,64,128
73,1.1858057940707487,1.064897910637014,0.00018,1.5e-05,64,64,128
74,1.1673877239227295,1.080390248228522,0.00018,1.5e-05,64,64,128
75,1.1613254512057585,1.0756074225201326,0.00018,1.5e-05,64,64,128
76,1.155581516378066,1.083153857904322,0.00018,1.5e-05,64,64,128
77,1.1379048403571634,1.1017200420884525,0.00018,1.5e-05,64,64,128
78,1.1342179354499369,1.1089596397736494,0.00018,1.5e-05,64,64,128
79,1.1195471251712126,1.1158864498138428,0.00018,1.5e-05,64,64,128
80,1.102872725795297,1.1341021937482498,0.00018,1.5e-05,64,64,128
81,1.142154939034406,1.0245008591343374,0.000162,7.5e-06,64,64,128
82,1.1273370139739092,1.031303915907355,0.000162,7.5e-06,64,64,128
83,1.1468330832088696,0.9970662716556998,0.000162,7.5e-06,64,64,128
84,1.1516775944653679,0.9842434998820809,0.000162,7.5e-06,64,64,128
85,1.1573664055151098,0.9776675297933466,0.000162,7.5e-06,64,64,128
86,1.1646881278823404,0.9720088909654057,0.000162,7.5e-06,64,64,128
87,1.1601302097825443,0.9560678075341618,0.000162,7.5e-06,64,64,128
88,1.1634036267504972,0.972778963692048,0.000162,7.5e-06,64,64,128
89,1.160929914783029,0.9596083532361424,0.000162,7.5e-06,64,64,128
90,1.1632832358865177,0.9528077402535606,0.000162,7.5e-06,64,64,128
91,1.1538051577175366,0.9718062719878029,0.000162,7.5e-06,64,64,128
92,1.1508644082966972,0.969351086546393,0.000162,7.5e-06,64,64,128
93,1.1500314894844503,0.9760638545541203,0.000162,7.5e-06,64,64,128
94,1.1445327856961418,0.9790482380810905,0.000162,7.5e-06,64,64,128
95,1.13923762475743,0.9795517325401306,0.000162,7.5e-06,64,64,128
96,1.1365621054873747,0.9795890257639044,0.000162,7.5e-06,64,64,128
97,1.1299150691312903,0.9818719660534578,0.000162,7.5e-06,64,64,128
98,1.1216196207439197,0.9887362508212819,0.000162,7.5e-06,64,64,128
99,1.1189695666818058,1.0007029841927921,0.000162,7.5e-06,64,64,128
100,1.1071713917395647,1.002740558455972,0.000162,7.5e-06,64,64,128
101,1.106166422367096,1.0031581398318796,0.000162,7.5e-06,64,64,128
102,1.0973209177746492,1.013158174122081,0.000162,7.5e-06,64,64,128
103,1.093633301117841,1.0058971468140097,0.000162,7.5e-06,64,64,128
104,1.0808444864609663,1.0264232176191666,0.000162,7.5e-06,64,64,128
